a,c,n,t,Y
4.080560491978371829e+01,5.692155254275252219e+02,2.727448082381664918e+01,4.073869520798632493e+01,9.995192100000000579e+00
3.342542186307120744e+01,2.443915871201876087e+02,2.813501998930200898e+01,4.351289801979450544e+01,1.246569299999999991e+01
2.014447599692591950e+02,4.580870873935496661e+02,2.532090704913748880e+01,3.808435900323758716e+01,7.388715099999999758e+00
7.610574031768304337e+01,1.877071885759995666e+02,4.307092981668058229e+01,3.246236607952577913e+01,9.307722999999999303e+00
3.998136172020732033e+02,1.007246414952757618e+02,3.498709812200813474e+01,3.012871895273919876e+01,1.117802299999999960e+01
2.754559702643732066e+02,1.401260195810574487e+02,1.673446811617416330e+01,1.027908157927659971e+01,9.526300700000000177e+00
4.633990033810350724e+02,1.632963621057276953e+02,4.115467001268380898e+01,5.965316610480540405e+00,8.542933800000000133e+00
2.198700225778888750e+02,4.176109751556195988e+02,1.137657015685513784e+01,2.537251181358193008e+01,6.600391400000000353e+00
3.030271401241448643e+02,4.912280664151843723e+01,1.535314151498494617e+01,3.337739839832270405e+01,1.810015900000000144e+01
3.719214417201160927e+02,4.976390022421418280e+02,3.042740683746240293e+01,1.675562389426718113e+01,6.100858299999999623e+00
2.583041299661931589e+02,7.704606935101470810e+01,1.863684974974376729e+01,4.997642693805111946e+01,1.357493499999999997e+01
1.500225293917802674e+02,3.498106395351623519e+02,3.872106809601082489e+01,3.881277673640072479e+00,7.457093600000000322e+00
5.364981303012189073e+02,5.322132026611001265e+02,4.525955853903701609e+01,1.501221427229660499e+01,5.858752199999999632e+00
4.373260325081143947e+02,2.715500550009181069e+01,3.213640706947806081e+01,1.191795909867872005e+01,1.847968300000000141e+01
5.698152292136436472e+02,3.915260589112021421e+02,2.281301704985963141e+01,1.891987199610676029e+01,5.934110600000000346e+00
5.096115506568542628e+02,2.803305447903885579e+02,2.025084040755195502e+01,4.647687304537386410e+01,6.841992799999999875e+00
1.787321520781120796e+02,3.431527538645145796e+02,4.702224185897163977e+01,2.142494613694889694e+01,7.523989399999999605e+00
3.472733006950886647e+02,2.249584855525274918e+02,1.269280908976633171e+01,3.745363459817102836e+01,6.981783799999999651e+00
4.300063973786561178e+02,2.973057198952746489e+02,3.792391215465275423e+01,2.575624569105374206e+01,6.708271200000000434e+00
9.912844684263660611e+01,4.853901034046901373e+02,4.969615596431467708e+01,2.568267181816231925e+00,7.866061700000000378e+00
5.646481303012188846e+02,5.322132026611001265e+02,4.525955853903701609e+01,1.501221427229660499e+01,5.791430000000000078e+00
5.364981303012189073e+02,5.603632026611001038e+02,4.525955853903701609e+01,1.501221427229660499e+01,5.771550699999999701e+00
5.364981303012189073e+02,5.322132026611001265e+02,4.725955853903701609e+01,1.501221427229660499e+01,5.845149400000000384e+00
5.364981303012189073e+02,5.322132026611001265e+02,4.525955853903701609e+01,1.746221427229660605e+01,5.907693000000000083e+00
5.505731303012189528e+02,5.462882026611001720e+02,4.625955853903701609e+01,1.256221427229660392e+01,5.741798900000000039e+00
5.540918803012189073e+02,5.498069526611002402e+02,4.650955853903701609e+01,1.133721427229660250e+01,5.708312399999999620e+00
5.593700053012187254e+02,5.550850776611001720e+02,4.688455853903701609e+01,1.317471427229660286e+01,5.732769300000000179e+00
