a,c,n,t,Y
1.847660524226356245e+02,8.143265832934935133e+01,1.319570788352148583e+01,1.398120544360460116e+01,1.500270399999999960e+01
3.738094352113628247e+02,5.651663370636026684e+02,3.618946518252328559e+01,8.475058273078627025e+00,5.853078299999999956e+00
5.719191500032012527e+02,1.788137449509978865e+02,3.246423175544904183e+01,4.644289822331545992e+01,7.355910699999999913e+00
4.389375826589164831e+02,4.820002687247014705e+01,1.110406721954610632e+01,1.641054663444439043e+01,1.732909199999999927e+01
4.019594352113628020e+02,5.651663370636026684e+02,3.618946518252328559e+01,8.475058273078627025e+00,5.790691299999999764e+00
3.738094352113628247e+02,5.370163370636026912e+02,3.618946518252328559e+01,8.475058273078627025e+00,5.923616700000000179e+00
3.738094352113628247e+02,5.651663370636026684e+02,3.818946518252328559e+01,8.475058273078627025e+00,5.859181300000000370e+00
3.738094352113628247e+02,5.651663370636026684e+02,3.618946518252328559e+01,1.092505827307862631e+01,5.930327600000000032e+00
3.878844352113627565e+02,5.510913370636026229e+02,3.718946518252328559e+01,6.025058273078627735e+00,5.860901799999999717e+00
3.892310050412473288e+02,5.730000000000000000e+02,3.728513621839429959e+01,7.580260260450630838e+00,5.845760300000000242e+00
3.835362836550875727e+02,5.730000000000000000e+02,3.688053789610941635e+01,9.067159094847591305e+00,5.816351100000000329e+00
4.004586443481674678e+02,5.730000000000000000e+02,3.508283705725185797e+01,8.323709677649109295e+00,5.754163899999999998e+00
4.004586443481676952e+02,5.730000000000000000e+02,3.641617039058520078e+01,8.323709677649107519e+00,5.803336500000000342e+00
4.039754987401453832e+02,5.690831685318012205e+02,3.499936904484057720e+01,9.514558101161584958e+00,5.811722200000000171e+00
4.198898276688340729e+02,5.671247527977020582e+02,3.446338294149103376e+01,8.251358769921621317e+00,5.729003500000000138e+00
4.289782136722707264e+02,5.656559409971275727e+02,3.385909420283643811e+01,8.047408688690129708e+00,5.702237700000000409e+00
4.119519700498388488e+02,5.693279704985639000e+02,3.577441437175781402e+01,7.070385057371902704e+00,5.776448000000000249e+00
4.212154872926522557e+02,5.635751242796470706e+02,3.403673501659950063e+01,7.634571170745775959e+00,5.723952999999999847e+00
4.293427224701017622e+02,5.706131808240666032e+02,3.318707514169951622e+01,7.062979024149832696e+00,5.733011799999999880e+00
4.280455638417572004e+02,5.670941525518567232e+02,3.230845633743584244e+01,8.463949223245521125e+00,5.701858299999999602e+00
4.320689622897367599e+02,5.665356980651799859e+02,3.144196682885534955e+01,8.812340264713926175e+00,5.676110399999999778e+00
4.553440485142133412e+02,5.601899720830106162e+02,3.117959853774355139e+01,7.454939896500723862e+00,5.619824699999999673e+00
4.690653995557248095e+02,5.569874651037632702e+02,3.020378890786647474e+01,7.237747451213627059e+00,5.593075400000000030e+00
4.463213089350904283e+02,5.557639333987922328e+02,3.158371733637935819e+01,8.803054763531896754e+00,5.682326899999999625e+00
4.670014549337591916e+02,5.588963945027844602e+02,2.950754862136931678e+01,8.815704413329012112e+00,5.618541699999999750e+00
4.782503491848849535e+02,5.534358045381325155e+02,2.750941664439880441e+01,8.787014757704099566e+00,5.595269499999999674e+00
4.768717740469624005e+02,5.621637477061378831e+02,2.774764316486561455e+01,8.023348679948437479e+00,5.557908199999999965e+00
4.845093903249303935e+02,5.637637012829743526e+02,2.678862462198717864e+01,7.828422159052572660e+00,5.528033100000000033e+00
5.173443347099129141e+02,5.500059846486474271e+02,2.556272256895554307e+01,7.522104125935731744e+00,5.492640599999999651e+00
5.386631778149569527e+02,5.458735562945142874e+02,2.409291150398059145e+01,7.199545091241183137e+00,5.438366099999999648e+00
5.182427035064893062e+02,5.511338691069076958e+02,2.478982221774720784e+01,6.710660316276729986e+00,5.484334500000000112e+00
5.269899864161657206e+02,5.554434913559473443e+02,2.542815698139192904e+01,5.701172751187957743e+00,5.432591300000000345e+00
5.391748957239858555e+02,5.559454130604010516e+02,2.490784206564021019e+01,4.929712249558922288e+00,5.409189200000000142e+00
5.712296841294564729e+02,5.513708047686352529e+02,2.008581129681111577e+01,6.096422456851076532e+00,5.325725900000000124e+00
5.730000000000000000e+02,5.512734785555441022e+02,1.991048567869133024e+01,6.076645430472451537e+00,5.292277900000000201e+00
5.730000000000000000e+02,5.442961575699956711e+02,2.163589663363357118e+01,5.378293778775793399e+00,5.338216599999999978e+00
5.730000000000000000e+02,5.485399111287575806e+02,2.166403988305901862e+01,5.528007274482611422e+00,5.328105899999999728e+00
5.730000000000000000e+02,5.513665143554728729e+02,2.135538328034330036e+01,4.915716430342448540e+00,5.319282600000000194e+00
5.730000000000000000e+02,5.488690154024425283e+02,2.114145136893180421e+01,5.474665728518326446e+00,5.327970500000000165e+00
5.730000000000000000e+02,5.557283021511128709e+02,2.039978347187915375e+01,5.619223653132126017e+00,5.289935200000000393e+00
5.730000000000000000e+02,5.585863382963921140e+02,2.009075518144054939e+01,5.679456121721209172e+00,5.272105800000000286e+00
5.730000000000000000e+02,5.565077621761682849e+02,1.958499787164447525e+01,5.545234581044606870e+00,5.274722999999999828e+00
5.730000000000000000e+02,5.599980312893462724e+02,1.932935963712802163e+01,5.633860553272031169e+00,5.260681499999999566e+00
5.730000000000000000e+02,5.627802852610722084e+02,1.887633670417707776e+01,5.673659259460457349e+00,5.245173600000000214e+00
5.730000000000000000e+02,5.632074177891154250e+02,1.787590443763341241e+01,6.571781266006913036e+00,5.229487100000000055e+00
5.730000000000000000e+02,5.661676436475261198e+02,1.700603472695593865e+01,6.985797474923028716e+00,5.220316999999999652e+00
5.730000000000000000e+02,5.707475361350353751e+02,1.786857656341769029e+01,5.865428288102199517e+00,5.215371199999999874e+00
5.730000000000000000e+02,5.730000000000000000e+02,1.763239946067874087e+01,5.840997889922052266e+00,5.206221499999999835e+00
5.730000000000000000e+02,5.730000000000000000e+02,1.732196465448089029e+01,6.500725982059851304e+00,5.198216099999999784e+00
5.730000000000000000e+02,5.730000000000000000e+02,1.670898322673459901e+01,6.490033334348336957e+00,5.182251100000000221e+00
5.730000000000000000e+02,5.730000000000000000e+02,1.682438997406467251e+01,6.611063251898571913e+00,5.188994100000000387e+00
5.730000000000000000e+02,5.730000000000000000e+02,1.712193432898972745e+01,6.360705114557202222e+00,5.204000500000000251e+00
5.730000000000000000e+02,5.730000000000000000e+02,1.635623663145620554e+01,7.140265951509928044e+00,5.189693300000000065e+00
5.730000000000000000e+02,5.730000000000000000e+02,1.648385291437845623e+01,7.010339145351140999e+00,5.186422099999999702e+00
5.730000000000000000e+02,5.730000000000000000e+02,1.586476671883607636e+01,7.125124859494137652e+00,5.177290600000000076e+00
5.730000000000000000e+02,5.730000000000000000e+02,1.550046723492487288e+01,7.281224578852709683e+00,5.164526099999999786e+00
5.730000000000000000e+02,5.730000000000000000e+02,1.640261004359509656e+01,6.556064203715450844e+00,5.168777999999999651e+00
5.730000000000000000e+02,5.730000000000000000e+02,1.572356673575183805e+01,7.057767379235246885e+00,5.168205099999999774e+00
5.730000000000000000e+02,5.730000000000000000e+02,1.568396070612474702e+01,6.682205602724730298e+00,5.161956100000000269e+00
5.730000000000000000e+02,5.730000000000000000e+02,1.548398765406131972e+01,6.600172217068127622e+00,5.154260999999999981e+00
5.730000000000000000e+02,5.730000000000000000e+02,1.484633260743196459e+01,7.257580855087430116e+00,5.145707400000000042e+00
5.730000000000000000e+02,5.730000000000000000e+02,1.438066995260630598e+01,7.449467735272203406e+00,5.136880800000000136e+00
5.730000000000000000e+02,5.730000000000000000e+02,1.414173574507707443e+01,7.638251751498694730e+00,5.138545500000000210e+00
5.730000000000000000e+02,5.730000000000000000e+02,1.402986355758294934e+01,7.426790762110621280e+00,5.127815199999999685e+00
5.730000000000000000e+02,5.730000000000000000e+02,1.360643776304072716e+01,7.519046607829464435e+00,5.119422199999999812e+00
5.730000000000000000e+02,5.730000000000000000e+02,1.330594832246784520e+01,7.322244576981534081e+00,5.110201499999999619e+00
5.730000000000000000e+02,5.730000000000000000e+02,1.275731859435358828e+01,7.332499576513740180e+00,5.094240799999999680e+00
5.730000000000000000e+02,5.730000000000000000e+02,1.195909337347752555e+01,8.369460618488922421e+00,5.091546799999999706e+00
5.730000000000000000e+02,5.730000000000000000e+02,1.107786980333157700e+01,8.811782718844121121e+00,5.060006600000000354e+00
5.730000000000000000e+02,5.730000000000000000e+02,1.176941231158902212e+01,7.918146567731071173e+00,5.079713299999999876e+00
5.730000000000000000e+02,5.730000000000000000e+02,1.022484928355114953e+01,8.341270000186995048e+00,5.036450900000000175e+00
5.730000000000000000e+02,5.730000000000000000e+02,1.000000000000000000e+01,8.389520662644230242e+00,5.029189399999999921e+00
5.730000000000000000e+02,5.730000000000000000e+02,1.000000000000000000e+01,8.490353229606418139e+00,5.023876200000000125e+00
5.730000000000000000e+02,5.730000000000000000e+02,1.000000000000000000e+01,8.774787124253309756e+00,5.028199500000000377e+00
5.730000000000000000e+02,5.730000000000000000e+02,1.000000000000000000e+01,8.742091154581471457e+00,5.028685399999999639e+00
5.730000000000000000e+02,5.730000000000000000e+02,1.000000000000000000e+01,8.599188042771357843e+00,5.026945300000000394e+00
5.730000000000000000e+02,5.730000000000000000e+02,1.000000000000000000e+01,8.913689112962050132e+00,5.031049900000000186e+00
5.730000000000000000e+02,5.730000000000000000e+02,1.000000000000000000e+01,8.487802247078821694e+00,5.024491399999999608e+00
5.730000000000000000e+02,5.730000000000000000e+02,1.000000000000000000e+01,8.433974167273481370e+00,5.028986899999999594e+00
5.730000000000000000e+02,5.730000000000000000e+02,1.000000000000000000e+01,8.684319219461222872e+00,5.027871300000000154e+00
5.730000000000000000e+02,5.730000000000000000e+02,1.000000000000000000e+01,8.356044245205600518e+00,5.031875799999999899e+00
5.730000000000000000e+02,5.730000000000000000e+02,1.000000000000000000e+01,8.696272834431864496e+00,5.026710099999999848e+00
5.730000000000000000e+02,5.730000000000000000e+02,1.000000000000000000e+01,8.452488957483009102e+00,5.020927099999999754e+00
5.730000000000000000e+02,5.730000000000000000e+02,1.000000000000000000e+01,8.394531391988454772e+00,5.027439099999999605e+00
