a,c,n,t,Y
1.114918348376210560e+02,2.096456095753264037e+01,2.852874105993378606e+01,3.652176253041524490e+01,1.877419300000000035e+01
2.465746293828905493e+02,2.832954562684614643e+02,1.051123258362434498e+01,2.488120875867370785e+01,6.873700699999999664e+00
5.402371452693150786e+02,4.889976353191264025e+02,3.919857880883274248e+01,6.328067521579772148e+00,5.759121099999999771e+00
5.132680478705007090e+02,4.925778411020030489e+02,1.660346470380908457e+01,3.198436667735130712e+01,6.077136499999999941e+00
2.153227400146399617e+01,7.572308232314912857e+01,2.265469246450161478e+01,8.737703027071908934e+00,2.227498399999999990e+01
4.373055081343645156e+02,4.706890264775128117e+02,2.378497963836869644e+01,1.662114104625924682e+01,5.955300099999999652e+00
7.286527361299380345e+01,5.726561969031812538e+01,3.850903742755371439e+01,3.037762641662511953e+01,1.910399599999999865e+01
4.134428160639914296e+01,2.801258695742592977e+02,2.606705922522608887e+01,4.255097087980175274e+01,1.060271200000000036e+01
4.141490879683517505e+02,3.489620608530882464e+02,3.209535286021989009e+01,4.750601748958523984e+01,7.286867799999999562e+00
5.654970849918178146e+02,2.003244299526841417e+02,1.959498716209893487e+01,4.002535194540936203e+01,6.929698199999999808e+00
4.585546052613099732e+01,2.152786070067711535e+02,1.280091210498009779e+01,1.664901764549458818e+01,9.897048099999999238e+00
4.962540104521672646e+01,1.734184445971806667e+02,4.160404493735157416e+01,4.536461571920352043e+01,1.036743399999999937e+01
4.562458397999984641e+02,3.263039338115665373e+02,3.464073540290605990e+01,1.871269356795688665e+01,6.481127200000000421e+00
1.050441391036099219e+02,2.556036456534856143e+02,3.931301345392704150e+01,4.081493569174321934e+00,8.421788299999999339e+00
2.167266711009945013e+01,4.438185613916557486e+02,2.199808037722217335e+01,3.535704947713232826e+01,1.462237200000000037e+01
4.236179268692344522e+02,5.352253051064757301e+02,2.601313731687233854e+01,1.856345848905965568e+01,5.953415500000000193e+00
4.640971032923069970e+02,4.404084873545374421e+02,3.610458959662335587e+01,4.073736212379829880e+01,6.903023700000000318e+00
3.715669654712140186e+02,5.490410017410127921e+02,2.335497685804369539e+01,3.717437851958497674e+01,6.892582400000000220e+00
5.447561511300330039e+02,1.982470187927781069e+02,3.446527986939257460e+01,1.891783821128050036e+01,7.216928499999999858e+00
2.698471840510501352e+02,5.222612212020693789e+01,1.077373449192970511e+01,3.822282391005650481e+01,1.772957399999999950e+01
2.649034096089946502e+02,3.606555463086331201e+02,3.959806071191579235e+01,2.151450807891020034e+01,6.974608299999999872e+00
2.169687229130869071e+02,1.051632203625935773e+02,4.175489626539228283e+01,4.181883302063694430e+01,1.120655200000000029e+01
4.233619118529137495e+02,5.027908485533334328e+02,3.592225767903254052e+01,3.510724256376220609e+01,6.725864299999999574e+00
1.186691791900944537e+02,4.421769482708304508e+02,2.336331577209356425e+01,2.246000109707613390e+01,7.178470299999999860e+00
1.895239449840777866e+02,3.299470836060509100e+02,3.634769405732353675e+01,2.920236851170649217e+01,7.455317800000000439e+00
1.891393902147078165e+02,1.327359002773027328e+02,4.379754123488702788e+01,1.580606970159292679e+01,1.069382799999999989e+01
2.567182377039445100e+02,6.146641243914105246e+01,2.203916679363735653e+01,5.199045494655950783e+00,1.751024500000000117e+01
2.035105918186513350e+02,4.093364730053183393e+02,4.895873023061036378e+01,3.163601716349469228e+01,7.426114899999999963e+00
1.616178931205205060e+02,3.797270578842168334e+02,3.507991276765243072e+01,4.145695922454026316e+01,7.838038499999999686e+00
3.104697118076470019e+02,5.229614972828092050e+02,2.662014676899361021e+01,1.501618880526429578e+01,6.217442000000000135e+00
3.022013585138519716e+02,5.293394841464997853e+02,3.895645050478456284e+01,2.520173705554178767e+01,6.547756999999999827e+00
2.900904465972717503e+02,3.752305976342863687e+02,2.791084641462845184e+01,2.798133407666607297e+01,6.731696799999999925e+00
5.567716396442500582e+02,5.349489237624528641e+02,4.362741721554579044e+01,7.225364794458567275e+00,5.641114599999999868e+00
3.233213826057919391e+02,2.162985198163556220e+02,4.647181937103896132e+01,1.637027850206436597e+01,7.506948200000000071e+00
5.340212143445686479e+02,1.441888549981039205e+02,2.681563099382606197e+01,4.803816971968360861e+01,7.970242500000000341e+00
3.452590067306995252e+02,5.347996739997718123e+02,3.155401167540302865e+01,1.217380644351860397e+01,6.101201999999999792e+00
4.113981240911985537e+02,3.036458756558371306e+02,3.021892674478284135e+01,7.687741149521645667e+00,6.621425699999999637e+00
9.158965705223937448e+01,5.333676793791876207e+02,4.824233056193148172e+01,4.833061393826651653e+01,1.025538099999999986e+01
2.114353428495452363e+02,3.582492552242788975e+01,3.215709091286343835e+01,3.707916411732148987e+01,1.877675100000000086e+01
3.748501643961720333e+02,3.980119405159709345e+01,1.931531330517154643e+01,3.558832867264023747e+01,1.813744399999999857e+01
4.101276047555749926e+01,4.865777981339629719e+02,4.956324646317423799e+01,1.314218248167690639e+01,9.046066700000000793e+00
4.046691641954539875e+01,5.615673325836000913e+02,4.068865138456696684e+01,2.325569220622804778e+01,9.096916800000000691e+00
2.792584884510871461e+02,5.254281913075454895e+02,2.423320319450407823e+01,3.605811610170785997e+00,6.067609499999999656e+00
3.556652953527537875e+02,1.859626994753176348e+02,3.726236171992916013e+01,4.744955145785553441e+01,7.663753599999999722e+00
2.130064715373772515e+02,1.490599599815715237e+02,1.211807472433789279e+01,4.175133703699344778e+01,8.217263600000000778e+00
5.412783174391651642e+01,5.460747954056585058e+02,3.824590511310935170e+01,4.566510949168507949e+01,1.046355800000000080e+01
