a,c,n,t,Y
5.547235252458131072e+02,5.334426824015090460e+02,1.333899827631264579e+01,4.754778268567665833e+01,7.614280199999999610e+00
1.758641231565197671e+01,2.388651563723324500e+02,1.839865100104410089e+01,4.723475471032877238e+00,2.714337499999999892e+01
2.910326249382405308e+02,1.376243249230926153e+02,4.148759628895765417e+01,2.749111562062232395e+00,1.065244399999999914e+01
3.432132645865498262e+02,7.266276372468142597e+01,1.484510882786392827e+01,6.588370238660938405e+00,1.689672099999999944e+01
2.097896214436885032e+02,1.206384657416256658e+02,2.352443578443107697e+01,3.483467191025347631e+01,1.079961600000000033e+01
2.973098140368319946e+02,4.477476469616421184e+01,1.610780855950438095e+01,3.162459487523724988e+01,1.774608900000000133e+01
5.318661693698399517e+01,1.756071773255357016e+02,4.472051395477387814e+01,1.983888398139812992e+01,9.695810399999999163e+00
4.943852889264928763e+02,4.200108447681785719e+02,3.997743854170164468e+01,4.171474888176242501e+01,6.970034700000000250e+00
3.699229026463830792e+02,5.631311755104915164e+02,2.154058070495507593e+01,1.353832133243911429e+01,5.795251600000000280e+00
1.586774554046401704e+02,4.698974841395842645e+02,4.647697146723003669e+01,9.695699269777268370e+00,7.319409799999999855e+00
5.317865388065024490e+02,4.971148787089514371e+02,2.978175590109482229e+01,4.423165892836991731e+01,7.235669299999999637e+00
4.785931600424921726e+02,3.419371572144053744e+02,3.391751085355709705e+01,1.752506696559238719e+01,6.355751599999999613e+00
1.046529427231154017e+02,1.802516457238046712e+02,2.499177846438073303e+01,2.113694349001958273e+01,8.692275800000000885e+00
1.964939418404393621e+02,2.103981078917256582e+02,1.173671537059082937e+01,2.368978503787896983e+01,7.522543899999999617e+00
8.356024103819838444e+01,4.477111162880744359e+02,3.753071358582013772e+01,4.905168021790712629e+01,9.432007499999999212e+00
3.890214967967324355e+02,3.001076675055580836e+02,4.854337861918644847e+01,2.715814096660765031e+01,6.858942400000000106e+00
4.042805201421709285e+02,2.817887485177625990e+02,3.100564026302972565e+01,3.863724979919567204e+01,6.912142000000000230e+00
1.282783101771532301e+02,3.684567392335217164e+02,2.601385834442428191e+01,1.084046278432498056e+01,7.210581000000000351e+00
2.480538446997454969e+02,3.841221148550486078e+02,4.391375143968543426e+01,2.800366199384400545e+01,7.093823300000000387e+00
4.597264630191441483e+02,2.147987521666671284e+01,3.420882555712233852e+01,3.769246635449065508e+01,1.839354700000000165e+01
3.980729026463830564e+02,5.631311755104915164e+02,2.154058070495507593e+01,1.353832133243911429e+01,5.737474399999999974e+00
