a,c,n,t,Y
5.293921714499642803e+02,9.645330703800372874e+01,3.563271012477085264e+01,6.564543853612904378e+00,1.267806799999999967e+01
1.476052145721862985e+02,2.744565530395856854e+02,1.555722101705147331e+01,1.910405308196162011e+01,7.451386000000000287e+00
2.185345238811907222e+02,1.790591133455628778e+02,3.422561887155687543e+01,5.387958101252568355e+00,8.609224499999999836e+00
2.871290046929022992e+02,1.562253535501120325e+02,4.274993795637625738e+01,4.348380754855506325e+01,8.234645300000000390e+00
1.231745070568393885e+02,2.538040071091570269e+02,4.328749867877248647e+01,2.975884630388943819e+01,8.387040499999999454e+00
1.850090665626999282e+02,8.128963786311572903e+01,1.251450103347256970e+01,4.773672984528209895e+01,1.387402299999999933e+01
3.024072183459576877e+02,5.194799218544642372e+02,2.231393520625564264e+01,2.200394568634607140e+01,6.358144499999999866e+00
5.269994018514945537e+02,5.149687396010651810e+02,2.148679543499579836e+01,4.219728094993676137e+01,6.921103600000000355e+00
1.149103092141179161e+02,4.862688602837762915e+02,1.174238804283262638e+01,3.957325189015492128e+01,7.922747099999999598e+00
2.418354947974325455e+02,4.219573051844462839e+02,2.724170678188054495e+01,3.669211289935962839e+01,7.090289699999999584e+00
5.047687714450798921e+02,3.568758296966527723e+02,4.515518006574844634e+01,1.094039064081050583e+01,6.340475200000000200e+00
3.672851084643367585e+02,1.621717868227149495e+01,4.086672266865691938e+01,2.341170280470253573e+01,1.906769200000000097e+01
3.196748651591921089e+02,4.001691805326368012e+02,4.147726789188354246e+01,2.547084044794025814e+01,6.768641200000000246e+00
2.305991976528833334e+02,2.050728359183749490e+02,3.910903084755281611e+01,2.121065098956117012e+01,7.951397799999999627e+00
2.510507948757805821e+02,6.093573131080647443e+01,2.623029269168453936e+01,4.663345946178768742e+01,1.738106499999999954e+01
5.563842336399753776e+02,3.734572366924621747e+02,2.442649085619364513e+01,7.733948238083293347e+00,5.966796999999999684e+00
5.153582395999812888e+02,3.026336083081102970e+02,1.142029138489878370e+01,3.281938406758203541e+01,6.232247799999999671e+00
1.650916362102457242e+02,1.573339542450443673e+02,2.908413960796497832e+01,4.816651500890537108e+01,8.511339500000000058e+00
1.442846982983901398e+02,5.047806962533450701e+02,3.070282509328927745e+01,3.848200672394668231e+01,7.873354299999999917e+00
2.597313440094528687e+02,2.463340748189509952e+02,3.645773079081118340e+01,4.600590414558066499e+01,7.604239399999999982e+00
3.122471672538904386e+02,2.281022634242483491e+02,1.626188265086694784e+01,1.003258778855991018e+01,7.150505599999999795e+00
1.920296941320767417e+02,4.586690460164694514e+02,1.846976070978524120e+01,1.550513899670417395e+01,6.636165300000000045e+00
4.377780785495617124e+02,1.306332948823149422e+02,3.274277408727012784e+01,1.431374140304354547e+01,1.022710900000000045e+01
3.536299128592418128e+02,3.278904797666439208e+02,4.550044553621168575e+01,2.018142898504965288e+01,6.787531399999999771e+00
4.892039419987768269e+02,5.507848285082837947e+02,3.149819149311839084e+01,4.157635346162602019e+01,7.174366799999999600e+00
2.772511112077672237e+02,4.314871557413344476e+02,4.398960014945168950e+01,3.616866568482362965e+01,7.213550200000000245e+00
7.708911926379390422e+01,2.831157581430844061e+02,4.030514207238172730e+01,1.261772837291819727e+01,8.453816099999999167e+00
3.414160395740576632e+02,3.645877297276225590e+02,4.712083966797756318e+01,3.434779231938573929e+01,6.964518100000000267e+00
4.247112411944069095e+02,4.453768455503505947e+02,2.431426322516699656e+01,3.246953641796151313e+00,5.926168099999999939e+00
4.773675968526463862e+02,1.703566524722404836e+02,1.442890191036987702e+01,1.776528858895034801e+01,7.571442399999999573e+00
5.437987691666753562e+02,3.421982362900580910e+01,3.326687630116543204e+01,4.063885392102846339e+01,1.776135899999999879e+01
4.388027599879677041e+02,1.985729430972812111e+02,2.288569992411851217e+01,3.778957613631396129e+01,7.157561499999999910e+00
1.056824054014518026e+02,1.195112700593269608e+02,1.910732292020972523e+01,2.922877776282273032e+01,1.107643599999999928e+01
1.777498771019173773e+02,1.062083590559234096e+02,2.542757465887742896e+01,3.116712521549973047e+01,1.185911899999999974e+01
5.680522513446552324e+01,3.187934709545501732e+02,1.054509890977760911e+01,2.698172239766697089e+01,1.011719100000000005e+01
3.362611282502377321e+02,1.384901366689595932e+02,3.874001735184710071e+01,2.399952049605118631e+01,9.084687199999999407e+00
3.325068438146782057e+01,2.509113236533758595e+01,4.631074145489654370e+01,1.690038612317589894e+01,2.070744799999999941e+01
1.472944831174644875e+01,2.200133036056020615e+02,3.778431433024901764e+01,3.167373646687209998e+01,2.163242599999999882e+01
4.512540004315022770e+02,3.876611141270846588e+02,1.676973683046190544e+01,1.359258644488654255e+01,6.002843999999999625e+00
3.978771992642710416e+02,4.081919747163338457e+02,3.492620203387507871e+01,4.923992438826763163e+01,7.803933899999999646e+00
2.019788590723422885e+02,7.600252094619371235e+01,2.003537970865392381e+01,2.815933737472008502e+01,1.526128800000000041e+01
9.387115529398640490e+01,4.643806880403065520e+02,2.048421227290512192e+01,1.611733263449973919e+00,7.198487700000000267e+00
5.215200115739054354e+01,5.330071846337175430e+02,4.940017345274307559e+01,3.356554876190305947e+01,8.521694800000000569e+00
2.847065832601007784e+01,4.565904538062443407e+01,3.182690539585974676e+01,2.620653185018516851e+00,2.081885899999999978e+01
7.788593751108192009e+01,3.463947958195611818e+02,4.831471193063224234e+01,4.440055096690372238e+01,8.789311100000000820e+00
3.810094210184396957e+02,2.663136875390766818e+02,2.999849252849086412e+01,4.178910119674998036e+00,6.895451800000000020e+00
4.125630221957648587e+02,5.432446106877526972e+02,1.794966936788458867e+01,2.600591188222712802e+01,6.161245499999999709e+00
3.882240618150197520e+02,4.790360087169487429e+02,1.358567666005322927e+01,1.640940967654358218e+01,5.872311100000000117e+00
4.697628245398311719e+02,5.652214086320105935e+02,2.793911812567622022e+01,9.314346212134889669e+00,5.598946299999999709e+00
5.641079913823681409e+02,3.123206160913128429e+02,4.910312581550182642e+01,8.323369963732389465e+00,6.461418199999999779e+00
