a,c,n,t,Y
5.671760377988629216e+02,4.889976353191264025e+02,1.018224278001177296e+01,1.076676279385477386e+00,5.218904600000000116e+00
5.671711873198131570e+02,3.560407086657596665e+02,1.388814884348086309e+01,1.063935619937716570e+00,5.834709100000000426e+00
5.705021817574531724e+02,4.889976353191264025e+02,1.018226328421988214e+01,1.304909108906416648e+00,5.206037399999999593e+00
5.670090002625004217e+02,4.233602289505496969e+02,1.108719969159940533e+01,1.322541001706230901e+00,5.479445100000000402e+00
5.671709262581169924e+02,4.889976353191264025e+02,1.015229878624451132e+01,1.297468207993132339e+00,5.214737500000000026e+00
5.670092613241979507e+02,4.889976353191264025e+02,1.018224278001177296e+01,1.725680917290924299e+01,5.384441699999999997e+00
5.670041497839039266e+02,4.889976353191264025e+02,1.018226328421988214e+01,4.432133769314943628e+00,5.225863999999999621e+00
5.701550567544438763e+02,4.889976353191264025e+02,1.011136553930299087e+01,1.297468207993132339e+00,5.210255899999999940e+00
5.724830774698342566e+02,4.889976353191264025e+02,2.797051486829687406e+01,1.304909108906416648e+00,5.563279699999999828e+00
5.675137954027021578e+02,4.889976353191264025e+02,1.018226328421988214e+01,2.500873122920844072e+00,5.225693699999999886e+00
5.671709262581169924e+02,4.889976353191264025e+02,1.198080786551899024e+01,1.298416027184821075e+00,5.276121800000000306e+00
5.701550567544438763e+02,4.749910779887176204e+02,1.011136553930299087e+01,1.296928040006837479e+00,5.260480900000000126e+00
5.670041497839039266e+02,4.889976353191264025e+02,1.018226328421988214e+01,1.776790127487104343e+01,5.379532499999999828e+00
5.701550567544438763e+02,4.889976353191264025e+02,1.006284861870543779e+01,1.297468207993132339e+00,5.202189899999999589e+00
5.705021817574531724e+02,4.889976353191264025e+02,1.014166668028883755e+01,1.252105613939966666e+00,5.207191199999999576e+00
5.709900486146730145e+02,4.889976353191264025e+02,1.018226328421988214e+01,1.304909108906416648e+00,5.214248300000000391e+00
5.701650045525436781e+02,4.889976353191264025e+02,1.007157406135934430e+01,1.297246712561078930e+00,5.203368799999999794e+00
5.701550567544438763e+02,5.317427836334169342e+02,1.006284861870543779e+01,1.297468207993132339e+00,5.053302999999999656e+00
5.714056261609218836e+02,4.889976353191264025e+02,1.017390330204976223e+01,8.813221908062704557e+00,5.259407000000000387e+00
5.701550567544438763e+02,4.889976353191264025e+02,1.007784108852507643e+01,2.915206573601361040e+00,5.217030900000000138e+00
5.705021817574531724e+02,4.889976353191264025e+02,1.016759135009259296e+01,1.304456546868440814e+00,5.210276099999999744e+00
5.703161388725591223e+02,4.889976353191264025e+02,1.025552127204944242e+01,1.297719739872606137e+00,5.210219200000000050e+00
5.701550567544438763e+02,5.277662061751707370e+02,1.006361922410555110e+01,4.379340829069788832e+00,5.116897500000000321e+00
5.701550567544438763e+02,5.317427836334169342e+02,1.006284861870543779e+01,9.348352081061946706e+00,5.158241499999999924e+00
5.703410996115394482e+02,5.317427836334169342e+02,1.001524803085529314e+01,1.304657577037038330e+00,5.066258200000000045e+00
5.701650045525436781e+02,4.889976353191264025e+02,1.093543572430120570e+01,1.069654912611634145e+01,5.299463799999999836e+00
5.701550567544438763e+02,5.317427836334169342e+02,1.002963261961831520e+01,1.297468207993132339e+00,5.059350199999999909e+00
5.703177360849942943e+02,5.317427836334169342e+02,1.001524803085529314e+01,2.707676753002097314e+00,5.093029999999999724e+00
5.703410996115394482e+02,5.247114987672576945e+02,1.001524803085529314e+01,1.305118484174152771e+00,5.101744300000000010e+00
5.701550567544438763e+02,4.720101418500560158e+02,1.006284861870543779e+01,9.348352081061946706e+00,5.318069399999999725e+00
5.729239414816344151e+02,5.317427836334169342e+02,1.335722964559088233e+01,1.297468207993132339e+00,5.165525099999999981e+00
5.701550567544438763e+02,5.317427836334169342e+02,1.158076766050018946e+01,1.778772751528271101e+01,5.342421800000000331e+00
5.701550567544438763e+02,5.317427836334169342e+02,1.009171867229841624e+01,1.217941917158440468e+00,5.055838200000000171e+00
5.703410996115394482e+02,5.435908663249881556e+02,1.001524803085529314e+01,1.304657577037038330e+00,5.043066900000000352e+00
5.701550567544438763e+02,5.317427836334169342e+02,1.102847155680024827e+01,3.521255253267736141e+00,5.117586900000000050e+00
5.713409532956015937e+02,5.317427836334169342e+02,1.000764278540339447e+01,1.297468207993132339e+00,5.071339299999999994e+00
5.703410996115394482e+02,5.433207417299962572e+02,1.535568945189565149e+01,1.223692089311901210e+00,5.183624499999999635e+00
5.701550567544438763e+02,5.317427836334169342e+02,1.008901104051308195e+01,1.297468207993132339e+00,5.054795799999999950e+00
5.701550567544438763e+02,5.393055999355376571e+02,1.002963261961831520e+01,1.291081686242063986e+00,5.048054200000000158e+00
5.168440521565265726e+02,5.320123496300943771e+02,1.003054757519940665e+01,1.298910969422761186e+00,5.177081199999999939e+00
5.701550567544438763e+02,5.317427836334169342e+02,1.004316808063801503e+01,1.217941917158440468e+00,5.069590999999999958e+00
