# Force coefficients
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# sideDir       : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# rollAxis      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# yawAxis       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# magUInf       : 2.00000000e+00
# lRef          : 1.33000000e+00
# Aref          : 2.86401925e-02
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cs              	Cl              	CmRoll          	CmPitch         	CmYaw           	Cd(f)           	Cd(r)           	Cs(f)           	Cs(r)           	Cl(f)           	Cl(r)           
22              	7.51209869e-01	1.05276677e-03	-3.39867433e-03	9.48979405e-09	1.29071455e-03	3.53881318e-04	3.75604944e-01	3.75604925e-01	8.80264705e-04	1.72502070e-04	-4.08622611e-04	-2.99005172e-03
23              	6.53385527e-01	1.11039524e-03	-3.11361652e-03	1.24112735e-09	1.16593619e-03	3.18102415e-04	3.26692765e-01	3.26692762e-01	8.73300033e-04	2.37095203e-04	-3.90872072e-04	-2.72274445e-03
24              	4.39235295e-01	8.25106698e-04	-2.98722338e-03	-1.79350552e-08	1.17113904e-03	2.46870795e-04	2.19617630e-01	2.19617665e-01	6.59424144e-04	1.65682554e-04	-3.22472647e-04	-2.66475073e-03
25              	2.88519964e-01	5.04333663e-04	-3.12256475e-03	-3.12304150e-08	1.29994076e-03	2.21262682e-04	1.44259951e-01	1.44260013e-01	4.73429513e-04	3.09041499e-05	-2.61341616e-04	-2.86122313e-03
26              	2.71225544e-01	4.10720471e-04	-3.43876876e-03	-3.10527376e-08	1.48147777e-03	2.76936720e-04	1.35612741e-01	1.35612803e-01	4.82296956e-04	-7.15764848e-05	-2.37906610e-04	-3.20086215e-03
27              	3.41945716e-01	5.68828303e-04	-3.70007869e-03	-4.13236682e-08	1.59038076e-03	3.66465550e-04	1.70972817e-01	1.70972899e-01	6.50879702e-04	-8.20513984e-05	-2.59658587e-04	-3.44042011e-03
28              	4.15464614e-01	7.99059396e-04	-3.76012241e-03	-4.65768483e-08	1.56681916e-03	4.17778121e-04	2.07732260e-01	2.07732354e-01	8.17307819e-04	-1.82484234e-05	-3.13242046e-04	-3.44688037e-03
29              	4.38837218e-01	9.45948026e-04	-3.65070879e-03	-4.66203386e-08	1.44765854e-03	4.02504817e-04	2.19418563e-01	2.19418656e-01	8.75478830e-04	7.04691960e-05	-3.77695858e-04	-3.27301294e-03
30              	4.14238605e-01	9.43350141e-04	-3.48667235e-03	-3.36144466e-08	1.31241734e-03	3.42856697e-04	2.07119269e-01	2.07119336e-01	8.14531768e-04	1.28818373e-04	-4.30918837e-04	-3.05575352e-03
31              	3.75741640e-01	8.42253110e-04	-3.35473970e-03	-1.97203628e-08	1.22114466e-03	2.89260411e-04	1.87870800e-01	1.87870840e-01	7.10386966e-04	1.31866144e-04	-4.56225192e-04	-2.89851451e-03
