# Force coefficients
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# sideDir       : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# rollAxis      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# yawAxis       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# magUInf       : 2.00000000e+00
# lRef          : 1.50000000e+00
# Aref          : 1.76641672e-02
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cs              	Cl              	CmRoll          	CmPitch         	CmYaw           	Cd(f)           	Cd(r)           	Cs(f)           	Cs(r)           	Cl(f)           	Cl(r)           
24              	5.08248235e-01	-8.27855773e-04	1.99205697e-03	-9.27889833e-08	-9.58628794e-04	-4.56800247e-05	2.54124025e-01	2.54124210e-01	-4.59607911e-04	-3.68247862e-04	3.73996909e-05	1.95465728e-03
25              	4.15411854e-01	-9.11846857e-04	2.94462080e-03	-9.75225036e-08	-1.05561307e-03	-1.15459504e-04	2.07705829e-01	2.07706024e-01	-5.71382932e-04	-3.40463924e-04	4.16697332e-04	2.52792346e-03
26              	4.05683108e-01	-7.33095434e-04	3.50467566e-03	-1.07206896e-07	-1.11198442e-03	-1.72653551e-04	2.02841447e-01	2.02841661e-01	-5.39201269e-04	-1.93894166e-04	6.40353408e-04	2.86432225e-03
27              	4.60782717e-01	-5.05097199e-04	3.48758223e-03	-1.14447601e-07	-1.12318169e-03	-2.02550096e-04	2.30391244e-01	2.30391473e-01	-4.55098695e-04	-4.99985031e-05	6.20609425e-04	2.86697281e-03
28              	5.22365989e-01	-4.04004967e-04	3.25364473e-03	-1.19620049e-07	-1.15929647e-03	-1.96139459e-04	2.61182875e-01	2.61183114e-01	-3.98141942e-04	-5.86302487e-06	4.67525892e-04	2.78611884e-03
29              	5.44391637e-01	-4.82493360e-04	3.15094023e-03	-1.15317024e-07	-1.23898362e-03	-1.88629744e-04	2.72195703e-01	2.72195934e-01	-4.29876423e-04	-5.26169363e-05	3.36486495e-04	2.81445374e-03
30              	5.19367168e-01	-6.32324620e-04	3.42369781e-03	-1.05831900e-07	-1.37265634e-03	-2.02557675e-04	2.59683478e-01	2.59683690e-01	-5.18719985e-04	-1.13604635e-04	3.39192560e-04	3.08450525e-03
31              	4.71108947e-01	-7.48985183e-04	4.11764247e-03	-9.27026862e-08	-1.57161093e-03	-2.36561324e-04	2.35554381e-01	2.35554566e-01	-6.11053916e-04	-1.37931268e-04	4.87210303e-04	3.63043216e-03
32              	4.32422868e-01	-8.15778943e-04	4.78680831e-03	-8.21136618e-08	-1.74672479e-03	-2.75622807e-04	2.16211352e-01	2.16211516e-01	-6.83512279e-04	-1.32266664e-04	6.46679361e-04	4.14012894e-03
33              	4.18464966e-01	-8.38694960e-04	5.18858432e-03	-7.50058795e-08	-1.86402184e-03	-3.02192644e-04	2.09232408e-01	2.09232558e-01	-7.21540124e-04	-1.17154837e-04	7.30270324e-04	4.45831399e-03
