# Force coefficients
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# sideDir       : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# rollAxis      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# yawAxis       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# magUInf       : 2.00000000e+00
# lRef          : 1.10719220e+00
# Aref          : 5.38705787e-02
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cs              	Cl              	CmRoll          	CmPitch         	CmYaw           	Cd(f)           	Cd(r)           	Cs(f)           	Cs(r)           	Cl(f)           	Cl(r)           
205             	1.37068836e-02	1.45204983e-06	-1.64299986e-06	1.94931869e-09	-3.79109318e-07	8.87936481e-08	6.85344376e-03	6.85343986e-03	8.14818562e-07	6.37231266e-07	-1.20060925e-06	-4.42390610e-07
206             	1.37036900e-02	1.45564977e-06	-1.64038217e-06	1.94988180e-09	-3.84876448e-07	9.08484589e-08	6.85184695e-03	6.85184305e-03	8.18673342e-07	6.36976424e-07	-1.20506753e-06	-4.35314638e-07
207             	1.37005206e-02	1.45984455e-06	-1.63477832e-06	1.95050535e-09	-3.91916664e-07	9.33250428e-08	6.85026223e-03	6.85025833e-03	8.23247317e-07	6.36597232e-07	-1.20930582e-06	-4.25472496e-07
208             	1.36973762e-02	1.46456336e-06	-1.62526899e-06	1.95114720e-09	-4.00375106e-07	9.61451979e-08	6.84869007e-03	6.84868617e-03	8.28426879e-07	6.36136484e-07	-1.21300960e-06	-4.12259387e-07
209             	1.36942583e-02	1.46844580e-06	-1.61232179e-06	1.95181091e-09	-4.09747804e-07	9.87211142e-08	6.84713110e-03	6.84712720e-03	8.32944016e-07	6.35501788e-07	-1.21590870e-06	-3.96413092e-07
210             	1.36911675e-02	1.46976688e-06	-1.59908389e-06	1.95246627e-09	-4.18703971e-07	1.00482243e-07	6.84558571e-03	6.84558181e-03	8.35365682e-07	6.34401195e-07	-1.21824591e-06	-3.80837972e-07
211             	1.36881043e-02	1.46865708e-06	-1.58796747e-06	1.95328290e-09	-4.26742719e-07	1.01550227e-07	6.84405412e-03	6.84405021e-03	8.35878768e-07	6.32778314e-07	-1.22072646e-06	-3.67241018e-07
212             	1.36850690e-02	1.46819757e-06	-1.57865150e-06	1.95407186e-09	-4.34045714e-07	1.02854769e-07	6.84253645e-03	6.84253255e-03	8.36953555e-07	6.31244017e-07	-1.22337147e-06	-3.55280036e-07
213             	1.36820620e-02	1.46995638e-06	-1.56939713e-06	1.95484817e-09	-4.41048478e-07	1.05068973e-07	6.84103298e-03	6.84102907e-03	8.40047162e-07	6.29909216e-07	-1.22574704e-06	-3.43650089e-07
214             	1.36790842e-02	1.47413239e-06	-1.55789909e-06	1.95550727e-09	-4.48557039e-07	1.08094555e-07	6.83954405e-03	6.83954014e-03	8.45160750e-07	6.28971639e-07	-1.22750659e-06	-3.30392508e-07
