# Force coefficients
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# sideDir       : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# rollAxis      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# yawAxis       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# magUInf       : 2.00000000e+00
# lRef          : 1.33000000e+00
# Aref          : 2.45006583e-01
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cs              	Cl              	CmRoll          	CmPitch         	CmYaw           	Cd(f)           	Cd(r)           	Cs(f)           	Cs(r)           	Cl(f)           	Cl(r)           
50              	3.85674513e-02	2.60693829e-04	-8.94610885e-04	9.11387648e-09	3.27815759e-04	9.66447428e-05	1.92837348e-02	1.92837165e-02	2.26991658e-04	3.37021719e-05	-1.19489684e-04	-7.75121201e-04
51              	3.83164956e-02	2.74107599e-04	-9.21612873e-04	9.42752663e-09	3.37477167e-04	1.01199970e-04	1.91582573e-02	1.91582384e-02	2.38253769e-04	3.58538294e-05	-1.23329269e-04	-7.98283604e-04
52              	3.81543946e-02	2.87399646e-04	-9.48006889e-04	9.66869165e-09	3.46731388e-04	1.05736895e-04	1.90772070e-02	1.90771876e-02	2.49436718e-04	3.79629280e-05	-1.27272056e-04	-8.20734832e-04
53              	3.80848193e-02	3.00409480e-04	-9.72120857e-04	9.89646293e-09	3.55327906e-04	1.10420880e-04	1.90424196e-02	1.90423998e-02	2.60625620e-04	3.97838601e-05	-1.30732523e-04	-8.41388334e-04
54              	3.80562998e-02	3.13422708e-04	-9.94462376e-04	9.98696979e-09	3.63529120e-04	1.15242042e-04	1.90281599e-02	1.90281399e-02	2.71953396e-04	4.14693119e-05	-1.33702068e-04	-8.60760308e-04
55              	3.80067086e-02	3.26883988e-04	-1.01642594e-03	9.98369647e-09	3.71769444e-04	1.20212320e-04	1.90033643e-02	1.90033443e-02	2.83654314e-04	4.32296746e-05	-1.36443527e-04	-8.79982416e-04
56              	3.79035150e-02	3.41094894e-04	-1.03964229e-03	9.85417070e-09	3.80415933e-04	1.25247757e-04	1.89517674e-02	1.89517476e-02	2.95795204e-04	4.52996898e-05	-1.39405214e-04	-9.00237080e-04
57              	3.77544900e-02	3.55752523e-04	-1.06469379e-03	9.63421590e-09	3.89848691e-04	1.30395707e-04	1.88772546e-02	1.88772353e-02	3.08271969e-04	4.74805541e-05	-1.42498202e-04	-9.22195584e-04
58              	3.75903852e-02	3.70715528e-04	-1.09156779e-03	9.35957219e-09	4.00155532e-04	1.35847481e-04	1.87952020e-02	1.87951832e-02	3.21205246e-04	4.95102828e-05	-1.45628363e-04	-9.45939428e-04
59              	3.74392733e-02	3.86245794e-04	-1.12009224e-03	9.02144660e-09	4.11155357e-04	1.41669011e-04	1.87196457e-02	1.87196276e-02	3.34791908e-04	5.14538859e-05	-1.48890765e-04	-9.71201478e-04
