a,b,c,d,n,t,D
116.15994,1373.6929,91.8721,65.74945,4.0657663,35.387257,2.6683302
143.71014,1007.4289,161.18402,56.456276,2.749336,45.304733,2.0248747
514.77594,1.3858547,507.11298,197.88536,4.246248,30.957376,21.172098
177.14961,1268.2252,486.91803,170.58014,3.1525383,34.26712,8.310683
201.45447,688.7827,350.3721,165.59355,2.342216,29.337976,5.5392766
435.94144,480.24103,169.1979,168.51509,4.5666027,48.838375,7.122427
363.64404,1372.5759,188.18637,182.88673,4.808488,20.052113,9.4965
388.84586,1039.1869,204.57393,173.49506,4.011372,32.28921,7.535435
257.3995,1180.0419,321.441,158.70224,4.0860724,4.9712515,6.748586
217.14265,1029.6016,265.48508,134.10527,4.5728087,3.2421713,5.097756
387.2041,1076.7426,384.29547,167.03514,4.661373,2.9941978,7.1141734
418.5844,471.77005,439.36285,174.44444,4.264008,37.607132,6.2005343
297.2871,1073.9575,367.9078,177.43054,4.902719,44.91337,8.416725
158.15459,839.75415,150.1201,58.462322,2.3427908,45.314762,1.8350906
167.0481,736.2022,249.57524,148.29727,4.0132713,3.8566895,4.8531666
70.31043,855.5769,199.04439,70.25375,1.1184947,3.7464294,2.0387845
275.70984,618.9901,119.26018,112.23296,3.4274511,34.875507,3.3110366
339.85297,821.26764,421.6613,147.46,1.4678557,11.226574,5.179103
182.8523,751.9093,90.44015,67.69311,2.9548407,16.732199,1.8980749
174.7686,1249.8732,153.23083,95.179146,1.4490851,9.749934,3.7455332
419.19717,1179.7009,361.79077,155.61496,4.5091166,31.057192,7.1773353
223.43335,1476.7343,145.93924,106.17709,3.895936,43.832058,4.948007
209.61966,729.26874,216.10085,125.31269,2.6278868,34.014076,3.9664538
277.4178,1234.011,268.95105,191.86789,3.9485462,25.843601,8.853743
382.46622,1071.3842,406.31143,189.15785,3.2984047,12.97758,8.158427
192.71507,964.5344,231.07806,90.315926,1.494095,5.043523,2.9973323
248.40337,1285.1683,199.96948,110.59355,2.7324867,31.45229,4.679587
167.01013,753.15137,160.55548,134.13045,2.2548425,26.91195,4.3281107
264.81076,1435.3187,216.6468,92.938545,1.3333999,18.165825,4.0710554
403.86823,1014.5408,416.27267,161.06583,2.4192991,8.163218,6.552288
193.6399,1044.2786,453.48178,191.91951,3.339847,32.223106,8.403133
251.63524,1212.447,425.4724,167.95195,3.848483,19.694893,7.503055
142.20596,714.8826,161.49275,120.146904,2.520688,4.9813776,3.6424224
157.07443,983.0018,194.1623,71.06394,3.5323768,37.11018,2.4835384
357.55057,1306.4193,180.51804,128.33904,4.117693,38.911304,5.8153744
317.83365,1217.1743,210.61551,115.09739,4.0293264,24.989035,4.835724
315.26733,1255.0193,163.52913,124.833405,2.7515855,27.660381,5.3298755
421.7767,454.8118,402.047,141.29295,3.8963366,30.948387,4.470942
260.3765,901.1377,171.64368,150.24017,3.0526466,1.3844656,5.758945
182.27583,816.16925,101.66208,101.203476,3.9629273,27.064865,3.2839034
357.2076,438.02826,236.63449,158.32185,1.6260986,34.548286,5.4604225
365.71533,1116.3732,271.3705,133.52454,3.725859,20.961773,5.52155
201.58568,1196.7517,100.02119,71.43483,4.0526567,14.24249,2.7285929
573.34576,716.7931,512.76013,196.06104,1.3508669,48.262943,10.178716
225.29182,1205.8359,173.2128,88.20509,1.8097312,26.581083,3.426097
475.07947,1064.6022,316.07022,195.12485,4.1195498,40.133133,9.110066
209.80139,1492.4948,168.35864,117.043,1.932984,40.792965,5.427989
338.2999,973.7875,170.83359,135.532,1.1921693,12.607477,5.054258
262.46872,791.29346,252.3476,158.1583,4.532405,36.607777,5.7426567
264.52908,1038.3561,307.53146,148.31398,1.6704212,45.394962,6.295719
128.20941,1139.5978,141.22585,113.310776,3.3628266,25.163301,4.358951
322.03195,560.9877,325.11752,124.89304,4.484455,48.008175,4.6426215
185.94382,770.6837,257.29755,126.31544,1.2624907,40.632866,4.188598
394.32648,956.45496,224.19316,165.30835,1.4994186,2.3907967,6.525468
410.67758,1380.0549,198.2121,140.64458,2.2042215,1.8294288,6.619487
159.39557,962.0534,241.36613,131.22012,1.2167102,13.707475,4.601949
482.70135,543.502,561.3766,188.95844,3.7739952,32.12957,7.3594804
196.22925,1304.1737,128.81592,67.08394,3.3322752,46.44791,2.7734568
541.33093,776.7048,455.6447,199.16801,1.4467283,40.62207,8.558889
146.97002,1276.8939,321.03555,119.277824,4.2094665,13.865039,5.028927
332.26965,917.65405,436.29327,170.80692,1.2934849,8.63442,6.429845
515.6342,342.15765,523.6391,197.94371,1.0998247,40.52019,7.071895
214.96904,938.7824,283.29254,118.05339,3.7025702,38.47859,4.443264
192.77629,617.74646,198.44374,73.67715,1.7038847,21.05631,1.8918531
221.31978,1307.977,437.9249,198.74841,1.3411304,24.790642,9.355326
310.6623,1269.2057,400.6867,145.57504,1.6292092,11.3460045,6.3781104
138.355,1373.4365,128.35384,63.524155,2.7982562,34.68889,2.5860698
169.94405,1419.7056,261.1928,151.26799,4.4461675,46.017036,7.4998784
132.70248,737.14087,158.76152,70.04704,4.7768707,31.902653,1.9819502
131.34244,1558.6017,190.29509,126.31498,1.8665903,31.695845,5.9840226
466.11697,210.30711,447.42175,166.5476,2.5762413,30.816948,4.6663723
229.75832,867.1522,313.94678,112.534966,4.4643087,46.306698,4.557825
191.9963,1286.3518,113.019135,97.10801,4.3076286,14.810578,4.0422254
519.50323,669.9941,423.756,175.09697,3.0493922,22.521875,6.499368
298.0403,1058.5891,205.28117,171.1977,2.5245109,25.167765,7.1730847
284.3777,1116.1787,157.56796,109.09418,2.4085941,12.750741,4.2091317
120.80233,1402.7179,320.4061,110.42482,2.3942032,44.34445,5.441834
123.426125,988.2783,82.81359,64.41627,1.202449,31.281721,2.0486646
271.98477,674.70764,239.2288,97.40435,3.203515,1.4856455,2.801814
272.7337,1208.1616,317.33823,196.97096,1.6068687,16.710531,8.754784
394.8789,517.387,301.61386,162.66438,3.227923,25.82997,5.0802445
263.122,593.8221,403.31415,163.27634,2.2990782,38.942158,5.709945
443.6462,1283.7145,262.20328,166.45412,1.7959573,16.634773,7.6413455
208.50745,926.6203,129.37888,71.45123,1.2877724,48.814423,2.4009857
214.04102,901.19214,221.62862,116.422966,1.8493217,48.952717,4.3317146
308.8376,610.2641,207.89894,122.99197,3.2754323,14.796866,3.6282852
270.61624,446.77698,308.8911,178.68137,2.041701,49.32454,6.074117
202.65869,970.60065,323.904,184.75044,2.7206538,11.135806,7.260033
185.89673,1367.5444,155.12932,71.71434,3.4590092,35.7832,3.0181813
194.29076,1291.8068,455.04993,167.65256,4.8737087,19.818502,7.786483
333.03903,773.7822,132.36566,115.71814,1.8607897,47.96883,3.8654456
108.82146,1518.7567,151.43529,105.328606,2.8936152,31.443748,4.8032703
569.1005,249.7808,218.65451,197.65607,4.8651414,19.414614,8.165625
444.65546,1309.7413,194.579,157.85835,2.338576,5.186693,7.5274005
170.71585,1258.6614,486.10007,165.04012,3.4711134,8.192661,7.340809
356.09628,645.34375,174.06934,157.5875,4.3958173,47.20076,5.6180863
325.43524,749.53156,331.8889,125.05303,2.8723092,39.489388,4.5648947
376.91934,1162.077,285.76248,160.33975,3.958528,34.94253,7.1765556
450.68777,439.83008,473.67194,172.55637,1.8714918,41.50899,6.367094
220.03091,778.5427,378.6371,177.46936,3.0591738,34.607117,6.6323133
371.92908,421.73508,286.89636,143.64015,2.514304,17.660742,4.8434463
407.72638,1180.2928,385.07623,151.46057,4.6194625,29.090014,6.972285
69.68216,1238.4562,107.701126,65.707375,4.3159833,34.493942,2.484877
242.98657,820.47144,227.37465,123.87476,2.5781646,25.391718,4.104102
143.7561,1035.7369,289.89847,111.81821,3.832341,24.203426,4.16349
449.54956,673.44214,175.96587,164.05127,1.082036,39.023373,5.6276865
440.13373,943.36487,356.55203,160.35246,3.4001994,33.884876,6.7281566
254.67432,724.61444,246.04929,134.33514,2.2658467,8.597039,4.2072783
117.302185,1783.4657,73.67017,68.79619,4.379889,9.256744,3.4166708
126.93541,1599.5056,132.96472,70.97249,4.838812,43.83125,3.2972085
255.72186,928.6527,242.66124,167.5701,4.462289,39.263596,6.651298
518.57904,93.05253,496.18442,197.73601,4.7395606,39.669453,6.9147353
171.26099,1542.3132,173.23825,117.19215,2.2500982,5.281858,5.4578485
358.54483,1150.6709,383.42258,149.90837,1.2222768,28.363756,6.4235168
303.42688,1191.1532,287.71533,160.18835,4.6783495,40.0946,7.3016267
98.31134,1099.5114,72.14146,62.399918,4.193234,20.453175,2.1634183
428.01123,1153.2084,162.1648,162.12354,3.7085085,24.21928,7.6020913
438.02905,497.29617,444.47495,157.1069,2.9541736,48.54818,7.0195637
440.76016,912.3192,301.37698,153.60457,3.0248208,14.982065,5.9745903
258.9689,727.9018,217.15971,160.43596,2.4555209,14.663807,5.4076023
79.34359,889.948,126.32826,61.6297,3.578637,3.481154,1.8241853
356.0376,574.9699,192.44484,153.65796,1.7651328,48.605293,5.0061255
458.4131,219.9408,535.7018,189.48799,4.851427,29.46175,5.8944807
341.64496,1140.7024,253.0712,142.79257,2.2295759,34.99196,5.9919314
402.70468,1213.7682,247.43968,169.3615,3.3493783,49.738785,8.275615
293.38654,837.0546,334.47784,125.47157,3.2148733,17.48273,4.3580346
280.9893,858.69763,291.0763,153.21243,4.447489,44.636196,6.089685
147.23242,830.5405,171.99362,125.91641,4.0549827,22.86403,4.203086
453.35034,193.9755,357.88086,163.96481,4.519865,29.468452,4.3401885
318.73944,1229.3923,181.36092,162.51965,3.4718983,46.489647,7.6223373
323.22205,746.18286,126.85693,114.15349,4.81451,6.8311634,3.8625603
186.60204,751.47,357.59207,171.0388,3.0192611,29.133562,6.025645
314.0916,941.88403,127.47753,117.09558,4.8297777,19.027552,4.3872867
439.32538,1048.7075,243.36713,194.49417,1.9497818,44.628643,8.735821
305.54007,354.46924,364.63583,123.55773,2.1837678,36.74914,3.4752731
332.2761,425.4235,275.2071,164.75014,4.344691,30.468798,5.791122
406.09744,1038.0344,426.06537,197.56566,2.7728357,10.735054,8.451666
