# Force coefficients
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# sideDir       : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# rollAxis      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# yawAxis       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# magUInf       : 2.00000000e+00
# lRef          : 1.10719220e+00
# Aref          : 2.14266576e-03
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cs              	Cl              	CmRoll          	CmPitch         	CmYaw           	Cd(f)           	Cd(r)           	Cs(f)           	Cs(r)           	Cl(f)           	Cl(r)           
142             	3.50557818e-01	3.18380376e-05	-8.98071752e-05	4.66203862e-08	1.37207549e-05	-1.24229916e-06	1.75278955e-01	1.75278862e-01	1.46767197e-05	1.71613180e-05	-3.11828328e-05	-5.86243425e-05
143             	3.50438793e-01	3.22543408e-05	-8.85045939e-05	4.66463125e-08	1.27523150e-05	-9.83652374e-07	1.75219443e-01	1.75219350e-01	1.51435180e-05	1.71108228e-05	-3.14999820e-05	-5.70046119e-05
144             	3.50322069e-01	3.26211046e-05	-8.71039742e-05	4.66873142e-08	1.17451649e-05	-7.26921430e-07	1.75161081e-01	1.75160988e-01	1.55836309e-05	1.70374737e-05	-3.18068222e-05	-5.52971520e-05
145             	3.50207449e-01	3.29035447e-05	-8.56301374e-05	4.67392431e-08	1.07292114e-05	-4.90549839e-07	1.75103771e-01	1.75103678e-01	1.59612225e-05	1.69423222e-05	-3.20858573e-05	-5.35442801e-05
146             	3.50094759e-01	3.31059966e-05	-8.41580612e-05	4.67887560e-08	9.77058341e-06	-2.92661312e-07	1.75047426e-01	1.75047333e-01	1.62603370e-05	1.68456596e-05	-3.23084472e-05	-5.18496140e-05
147             	3.49983870e-01	3.32918865e-05	-8.25981085e-05	4.68299915e-08	8.88616734e-06	-1.17192982e-07	1.74991982e-01	1.74991888e-01	1.65287503e-05	1.67631363e-05	-3.24128869e-05	-5.01852216e-05
148             	3.49874667e-01	3.34076767e-05	-8.09222676e-05	4.68721768e-08	8.03882520e-06	4.42730279e-08	1.74937380e-01	1.74937286e-01	1.67481114e-05	1.66595653e-05	-3.24223086e-05	-4.84999590e-05
149             	3.49767010e-01	3.34677474e-05	-7.91616318e-05	4.69174070e-08	7.20721985e-06	1.95147628e-07	1.74883552e-01	1.74883458e-01	1.69290213e-05	1.65387261e-05	-3.23735960e-05	-4.67880357e-05
150             	3.49660791e-01	3.35051919e-05	-7.73805544e-05	4.69722373e-08	6.39822849e-06	3.34644779e-07	1.74830443e-01	1.74830349e-01	1.70872407e-05	1.64179512e-05	-3.22920487e-05	-4.50885057e-05
151             	3.49555852e-01	3.35504676e-05	-7.56251861e-05	4.70276364e-08	5.61595113e-06	4.62173976e-07	1.74777973e-01	1.74777879e-01	1.72374078e-05	1.63130598e-05	-3.21966419e-05	-4.34285442e-05
152             	3.49452079e-01	3.35861487e-05	-7.38644327e-05	4.70865071e-08	4.86570320e-06	5.87830397e-07	1.74726087e-01	1.74725993e-01	1.73809047e-05	1.62052440e-05	-3.20665132e-05	-4.17979196e-05
153             	3.49349359e-01	3.36246594e-05	-7.21138020e-05	4.71416041e-08	4.15663991e-06	7.01814723e-07	1.74674727e-01	1.74674632e-01	1.75141444e-05	1.61105150e-05	-3.19002611e-05	-4.02135409e-05
154             	3.49247613e-01	3.36337682e-05	-7.03912422e-05	4.71966968e-08	3.50159532e-06	7.91521877e-07	1.74623854e-01	1.74623759e-01	1.76084060e-05	1.60253622e-05	-3.16940258e-05	-3.86972164e-05
155             	3.49146799e-01	3.36282710e-05	-6.87111967e-05	4.72561478e-08	2.91730081e-06	8.61759570e-07	1.74573447e-01	1.74573352e-01	1.76758950e-05	1.59523759e-05	-3.14382975e-05	-3.72728992e-05
156             	3.49046860e-01	3.35596310e-05	-6.70361247e-05	4.73094030e-08	2.36575633e-06	9.17152973e-07	1.74523478e-01	1.74523383e-01	1.76969685e-05	1.58626625e-05	-3.11523060e-05	-3.58838187e-05
157             	3.48947692e-01	3.34034502e-05	-6.53158333e-05	4.73624347e-08	1.81198912e-06	9.39284292e-07	1.74473893e-01	1.74473799e-01	1.76410094e-05	1.57624408e-05	-3.08459276e-05	-3.44699058e-05
158             	3.48849173e-01	3.32643314e-05	-6.36452253e-05	4.74168751e-08	1.28423045e-06	9.49942217e-07	1.74424634e-01	1.74424539e-01	1.75821079e-05	1.56822235e-05	-3.05383822e-05	-3.31068431e-05
159             	3.48751226e-01	3.31403293e-05	-6.20615419e-05	4.74821092e-08	7.88761187e-07	9.62009937e-07	1.74375661e-01	1.74375566e-01	1.75321746e-05	1.56081547e-05	-3.02420098e-05	-3.18195321e-05
160             	3.48653817e-01	3.31003884e-05	-6.05156738e-05	4.75456375e-08	3.13619727e-07	9.89978981e-07	1.74326956e-01	1.74326861e-01	1.75401732e-05	1.55602152e-05	-2.99442172e-05	-3.05714566e-05
161             	3.48556939e-01	3.30968088e-05	-5.89856884e-05	4.76079227e-08	-1.46879628e-07	1.02588650e-06	1.74278517e-01	1.74278422e-01	1.75742909e-05	1.55225179e-05	-2.96397238e-05	-2.93459646e-05
162             	3.48460560e-01	3.30785081e-05	-5.74627002e-05	4.76691821e-08	-5.94612689e-07	1.06018141e-06	1.74230328e-01	1.74230232e-01	1.75994354e-05	1.54790726e-05	-2.93259628e-05	-2.81367374e-05
163             	3.48364630e-01	3.30771280e-05	-5.60339626e-05	4.77314496e-08	-1.02868036e-06	1.09580816e-06	1.74182363e-01	1.74182267e-01	1.76343722e-05	1.54427559e-05	-2.90456617e-05	-2.69883009e-05
164             	3.48269073e-01	3.31229080e-05	-5.47282053e-05	4.77948324e-08	-1.43616568e-06	1.14741105e-06	1.74134584e-01	1.74134489e-01	1.77088650e-05	1.54140429e-05	-2.88002683e-05	-2.59279370e-05
165             	3.48173845e-01	3.31588966e-05	-5.35560604e-05	4.78547195e-08	-1.81162796e-06	1.20675564e-06	1.74086970e-01	1.74086875e-01	1.77862040e-05	1.53726927e-05	-2.85896581e-05	-2.49664022e-05
166             	3.48078914e-01	3.32238952e-05	-5.24960016e-05	4.79164502e-08	-2.15577152e-06	1.26215159e-06	1.74039505e-01	1.74039409e-01	1.78740992e-05	1.53497960e-05	-2.84037723e-05	-2.40922293e-05
167             	3.47984278e-01	3.32998303e-05	-5.15004129e-05	4.79786235e-08	-2.48310107e-06	1.30804066e-06	1.73992187e-01	1.73992091e-01	1.79579558e-05	1.53418745e-05	-2.82333075e-05	-2.32671054e-05
168             	3.47889962e-01	3.33965481e-05	-5.05212834e-05	4.80423015e-08	-2.81550843e-06	1.35861097e-06	1.73945029e-01	1.73944933e-01	1.80568850e-05	1.53396631e-05	-2.80761501e-05	-2.24451333e-05
169             	3.47795968e-01	3.35170359e-05	-4.95763477e-05	4.81013734e-08	-3.15196480e-06	1.41857844e-06	1.73898032e-01	1.73897936e-01	1.81770964e-05	1.53399395e-05	-2.79401387e-05	-2.16362091e-05
170             	3.47702260e-01	3.36138977e-05	-4.87055463e-05	4.81610062e-08	-3.48467483e-06	1.47476624e-06	1.73851178e-01	1.73851082e-01	1.82817151e-05	1.53321826e-05	-2.78374480e-05	-2.08680983e-05
171             	3.47608801e-01	3.36779997e-05	-4.79264116e-05	4.82142479e-08	-3.79790051e-06	1.51796992e-06	1.73804448e-01	1.73804352e-01	1.83569698e-05	1.53210300e-05	-2.77611063e-05	-2.01653053e-05
172             	3.47515568e-01	3.37454403e-05	-4.72708163e-05	4.82633266e-08	-4.08927360e-06	1.55187877e-06	1.73757832e-01	1.73757736e-01	1.84245989e-05	1.53208414e-05	-2.77246818e-05	-1.95461346e-05
173             	3.47422570e-01	3.38582055e-05	-4.66978987e-05	4.83087830e-08	-4.35940401e-06	1.59101106e-06	1.73711333e-01	1.73711236e-01	1.85201138e-05	1.53380917e-05	-2.77083534e-05	-1.89895454e-05
174             	3.47329817e-01	3.39583173e-05	-4.62034904e-05	4.83498792e-08	-4.61457691e-06	1.61764345e-06	1.73664957e-01	1.73664860e-01	1.85968021e-05	1.53615152e-05	-2.77163221e-05	-1.84871683e-05
175             	3.47237327e-01	3.39926753e-05	-4.57362715e-05	4.83890384e-08	-4.85430397e-06	1.62385766e-06	1.73618712e-01	1.73618615e-01	1.86201953e-05	1.53724800e-05	-2.77224397e-05	-1.80138318e-05
176             	3.47145108e-01	3.40040808e-05	-4.52775028e-05	4.84246302e-08	-5.08715178e-06	1.62641903e-06	1.73572602e-01	1.73572505e-01	1.86284594e-05	1.53756214e-05	-2.77259032e-05	-1.75515996e-05
177             	3.47053142e-01	3.40602446e-05	-4.48420066e-05	4.84635782e-08	-5.31596795e-06	1.64379432e-06	1.73526619e-01	1.73526523e-01	1.86739166e-05	1.53863280e-05	-2.77369712e-05	-1.71050353e-05
178             	3.46961445e-01	3.41642090e-05	-4.45115641e-05	4.85007735e-08	-5.52281367e-06	1.67926383e-06	1.73480771e-01	1.73480674e-01	1.87613683e-05	1.54028407e-05	-2.77785957e-05	-1.67329684e-05
179             	3.46870006e-01	3.43218386e-05	-4.42556157e-05	4.85384058e-08	-5.70794548e-06	1.72782353e-06	1.73435052e-01	1.73434954e-01	1.88887428e-05	1.54330957e-05	-2.78357533e-05	-1.64198624e-05
180             	3.46778823e-01	3.44835500e-05	-4.40449853e-05	4.85733874e-08	-5.87027118e-06	1.77315845e-06	1.73389460e-01	1.73389363e-01	1.90149334e-05	1.54686165e-05	-2.78927638e-05	-1.61522215e-05
181             	3.46687905e-01	3.45849909e-05	-4.38164081e-05	4.86091241e-08	-6.02491538e-06	1.80254103e-06	1.73344001e-01	1.73343904e-01	1.90950365e-05	1.54899544e-05	-2.79331194e-05	-1.58832887e-05
182             	3.46597269e-01	3.46833759e-05	-4.35876125e-05	4.86417710e-08	-6.18025483e-06	1.82729350e-06	1.73298683e-01	1.73298586e-01	1.91689815e-05	1.55143945e-05	-2.79740611e-05	-1.56135514e-05
183             	3.46506937e-01	3.48048286e-05	-4.33465853e-05	4.86725978e-08	-6.34494013e-06	1.85628670e-06	1.73253517e-01	1.73253420e-01	1.92587010e-05	1.55461276e-05	-2.80182328e-05	-1.53283525e-05
184             	3.46416917e-01	3.49532878e-05	-4.31445449e-05	4.86975479e-08	-6.50840254e-06	1.88995991e-06	1.73208507e-01	1.73208410e-01	1.93666038e-05	1.55866840e-05	-2.80806750e-05	-1.50638699e-05
185             	3.46327202e-01	3.51032795e-05	-4.30218689e-05	4.87194786e-08	-6.65013688e-06	1.92184823e-06	1.73163650e-01	1.73163552e-01	1.94734880e-05	1.56297915e-05	-2.81610713e-05	-1.48607976e-05
186             	3.46237796e-01	3.52291943e-05	-4.29247668e-05	4.87376807e-08	-6.78009109e-06	1.95048486e-06	1.73118947e-01	1.73118849e-01	1.95650820e-05	1.56641123e-05	-2.82424745e-05	-1.46822923e-05
187             	3.46148715e-01	3.53230227e-05	-4.28179574e-05	4.87565003e-08	-6.90959095e-06	1.97376253e-06	1.73074406e-01	1.73074309e-01	1.96352739e-05	1.56877488e-05	-2.83185696e-05	-1.44993877e-05
188             	3.46059972e-01	3.54135473e-05	-4.26929135e-05	4.87763020e-08	-7.04145441e-06	1.98993815e-06	1.73030035e-01	1.73029937e-01	1.96967118e-05	1.57168355e-05	-2.83879112e-05	-1.43050024e-05
189             	3.45971582e-01	3.55225070e-05	-4.25388129e-05	4.87909849e-08	-7.17985024e-06	2.00298619e-06	1.72985840e-01	1.72985742e-01	1.97642397e-05	1.57582673e-05	-2.84492567e-05	-1.40895562e-05
190             	3.45883564e-01	3.56478038e-05	-4.24026144e-05	4.88050704e-08	-7.32087310e-06	2.01708934e-06	1.72941831e-01	1.72941733e-01	1.98409913e-05	1.58068126e-05	-2.85221803e-05	-1.38804341e-05
191             	3.45795928e-01	3.57626616e-05	-4.22666966e-05	4.88171738e-08	-7.47380096e-06	2.03395445e-06	1.72898013e-01	1.72897915e-01	1.99152853e-05	1.58473764e-05	-2.86071493e-05	-1.36595473e-05
192             	3.45708696e-01	3.58549365e-05	-4.21591525e-05	4.88298034e-08	-7.63026696e-06	2.05175135e-06	1.72854397e-01	1.72854299e-01	1.99792196e-05	1.58757169e-05	-2.87098432e-05	-1.34493093e-05
193             	3.45621892e-01	3.59443522e-05	-4.21276939e-05	4.88453873e-08	-7.75557500e-06	2.07437382e-06	1.72810995e-01	1.72810897e-01	2.00465499e-05	1.58978023e-05	-2.88194219e-05	-1.33082719e-05
194             	3.45535515e-01	3.60466570e-05	-4.21567044e-05	4.88585822e-08	-7.84726423e-06	2.09830725e-06	1.72767806e-01	1.72767708e-01	2.01216357e-05	1.59250212e-05	-2.89256164e-05	-1.32310880e-05
195             	3.45449545e-01	3.61682740e-05	-4.22024683e-05	4.88692936e-08	-7.93309607e-06	2.11936466e-06	1.72724822e-01	1.72724724e-01	2.02035016e-05	1.59647723e-05	-2.90343302e-05	-1.31681381e-05
196             	3.45363987e-01	3.62521154e-05	-4.22113060e-05	4.88821637e-08	-8.04277056e-06	2.13533103e-06	1.72682042e-01	1.72681945e-01	2.02613887e-05	1.59907267e-05	-2.91484236e-05	-1.30628825e-05
197             	3.45278869e-01	3.63043009e-05	-4.21763604e-05	4.88979641e-08	-8.18028510e-06	2.15026767e-06	1.72639483e-01	1.72639386e-01	2.03024181e-05	1.60018828e-05	-2.92684653e-05	-1.29078951e-05
198             	3.45194236e-01	3.63604355e-05	-4.21346025e-05	4.89144161e-08	-8.32453705e-06	2.16416136e-06	1.72597167e-01	1.72597069e-01	2.03443791e-05	1.60160564e-05	-2.93918383e-05	-1.27427642e-05
199             	3.45110107e-01	3.64465048e-05	-4.21073906e-05	4.89289739e-08	-8.45529864e-06	2.18830242e-06	1.72555103e-01	1.72555005e-01	2.04115548e-05	1.60349500e-05	-2.95089940e-05	-1.25983967e-05
200             	3.45026461e-01	3.64807347e-05	-4.20368518e-05	4.89421880e-08	-8.61183807e-06	2.18966843e-06	1.72513279e-01	1.72513181e-01	2.04300358e-05	1.60506989e-05	-2.96302640e-05	-1.24065878e-05
201             	3.44943325e-01	3.64701915e-05	-4.18684254e-05	4.89574673e-08	-8.81810775e-06	2.18098311e-06	1.72471711e-01	1.72471613e-01	2.04160788e-05	1.60541126e-05	-2.97523205e-05	-1.21161049e-05
202             	3.44860738e-01	3.64474386e-05	-4.16615054e-05	4.89712471e-08	-9.03908854e-06	2.17566248e-06	1.72430418e-01	1.72430320e-01	2.03993818e-05	1.60480568e-05	-2.98698412e-05	-1.17916641e-05
203             	3.44778717e-01	3.64319505e-05	-4.14814902e-05	4.89829583e-08	-9.23500583e-06	2.18115689e-06	1.72389407e-01	1.72389310e-01	2.03971321e-05	1.60348183e-05	-2.99757509e-05	-1.15057393e-05
204             	3.44697274e-01	3.64452695e-05	-4.13676364e-05	4.89967639e-08	-9.39228508e-06	2.19619588e-06	1.72348686e-01	1.72348588e-01	2.04188306e-05	1.60264389e-05	-3.00761033e-05	-1.12915331e-05
205             	3.44616397e-01	3.65072174e-05	-4.13080541e-05	4.90094759e-08	-9.53150919e-06	2.23243648e-06	1.72308247e-01	1.72308149e-01	2.04860452e-05	1.60211722e-05	-3.01855363e-05	-1.11225179e-05
