# Force coefficients
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# sideDir       : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# rollAxis      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# yawAxis       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# magUInf       : 2.00000000e+00
# lRef          : 1.50000000e+00
# Aref          : 2.06603698e-01
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cs              	Cl              	CmRoll          	CmPitch         	CmYaw           	Cd(f)           	Cd(r)           	Cs(f)           	Cs(r)           	Cl(f)           	Cl(r)           
24              	4.34541195e-02	-7.07798694e-05	1.70316542e-04	-7.93325641e-09	-8.19606785e-05	-3.90554284e-06	2.17270518e-02	2.17270677e-02	-3.92954776e-05	-3.14843919e-05	3.19759229e-06	1.67118949e-04
25              	3.55168107e-02	-7.79609245e-05	2.51758678e-04	-8.33796211e-09	-9.02526229e-05	-9.87153666e-06	1.77583970e-02	1.77584137e-02	-4.88519989e-05	-2.91089256e-05	3.56267163e-05	2.16131962e-04
26              	3.46850240e-02	-6.26780664e-05	2.99642152e-04	-9.16595663e-09	-9.50722514e-05	-1.47615034e-05	1.73425028e-02	1.73425212e-02	-4.61005366e-05	-1.65775298e-05	5.47488247e-05	2.44893328e-04
27              	3.93959209e-02	-4.31847127e-05	2.98180701e-04	-9.78502113e-09	-9.60295936e-05	-1.73175930e-05	1.96979507e-02	1.96979702e-02	-3.89099494e-05	-4.27476335e-06	5.30607570e-05	2.45119944e-04
28              	4.46611568e-02	-3.45415466e-05	2.78179554e-04	-1.02272542e-08	-9.91173291e-05	-1.67694974e-05	2.23305682e-02	2.23305886e-02	-3.40402708e-05	-5.01275884e-07	3.99724477e-05	2.38207106e-04
29              	4.65443018e-02	-4.12521336e-05	2.69398542e-04	-9.85935497e-09	-1.05930407e-04	-1.61274331e-05	2.32721410e-02	2.32721608e-02	-3.67534999e-05	-4.49863370e-06	2.87688640e-05	2.40629678e-04
30              	4.44047641e-02	-5.40623808e-05	2.92718722e-04	-9.04839745e-09	-1.17359134e-04	-1.73182410e-05	2.22023730e-02	2.22023911e-02	-4.43494314e-05	-9.71294942e-06	2.90002267e-05	2.63718495e-04
31              	4.02787911e-02	-6.40366054e-05	3.52049482e-04	-7.92587820e-09	-1.34369319e-04	-2.02254791e-05	2.01393876e-02	2.01394035e-02	-5.22437818e-05	-1.17928236e-05	4.16554221e-05	3.10394060e-04
32              	3.69712154e-02	-6.97473267e-05	4.09261707e-04	-7.02053963e-09	-1.49341173e-04	-2.35651510e-05	1.84856007e-02	1.84856147e-02	-5.84388144e-05	-1.13085123e-05	5.52896800e-05	3.53972027e-04
33              	3.57778452e-02	-7.17065964e-05	4.43612683e-04	-6.41283969e-09	-1.59369816e-04	-2.58368143e-05	1.78889162e-02	1.78889290e-02	-6.16901125e-05	-1.00164839e-05	6.24365256e-05	3.81176157e-04
34              	3.61483848e-02	-7.16073816e-05	4.61833463e-04	-6.22084206e-09	-1.68179611e-04	-2.62804401e-05	1.80741862e-02	1.80741986e-02	-6.20841309e-05	-9.52325070e-06	6.27371206e-05	3.99096342e-04
35              	3.67340365e-02	-7.39013387e-05	4.69431769e-04	-6.38930031e-09	-1.76218205e-04	-2.67349002e-05	1.83670119e-02	1.83670246e-02	-6.36855695e-05	-1.02157692e-05	5.84976802e-05	4.10934089e-04
36              	3.65902529e-02	-8.01139680e-05	4.84668285e-04	-6.67765069e-09	-1.86142387e-04	-2.86527181e-05	1.82951198e-02	1.82951331e-02	-6.87097020e-05	-1.14042659e-05	5.61917552e-05	4.28476530e-04
37              	3.57013986e-02	-9.07065582e-05	5.15829997e-04	-6.89216494e-09	-1.99208196e-04	-3.26487540e-05	1.78506924e-02	1.78507062e-02	-7.80020331e-05	-1.27045251e-05	5.87068025e-05	4.57123195e-04
38              	3.46416074e-02	-1.02259457e-04	5.51956519e-04	-6.81491291e-09	-2.11540342e-04	-3.76480687e-05	1.73207969e-02	1.73208105e-02	-8.87777974e-05	-1.34816600e-05	6.44379171e-05	4.87518601e-04
39              	3.40184045e-02	-1.12424547e-04	5.85168701e-04	-6.91242658e-09	-2.22277497e-04	-4.22488083e-05	1.70091954e-02	1.70092092e-02	-9.84610819e-05	-1.39634654e-05	7.03068531e-05	5.14861848e-04
40              	3.40878716e-02	-1.18932982e-04	6.14568222e-04	-6.72140038e-09	-2.33084248e-04	-4.49096700e-05	1.70439291e-02	1.70439425e-02	-1.04376161e-04	-1.45568210e-05	7.41998631e-05	5.40368359e-04
41              	3.46031150e-02	-1.21890383e-04	6.43460655e-04	-6.06122480e-09	-2.45364525e-04	-4.57966023e-05	1.73015515e-02	1.73015636e-02	-1.06741794e-04	-1.51485894e-05	7.63658025e-05	5.67094853e-04
42              	3.50893088e-02	-1.25358241e-04	6.73057345e-04	-5.41287503e-09	-2.58392870e-04	-4.70401078e-05	1.75446490e-02	1.75446598e-02	-1.09719228e-04	-1.56390129e-05	7.81358025e-05	5.94921542e-04
43              	3.52127248e-02	-1.31985544e-04	7.02778643e-04	-4.93344274e-09	-2.71050033e-04	-4.99314737e-05	1.76063575e-02	1.76063673e-02	-1.15924246e-04	-1.60612983e-05	8.03392890e-05	6.22439354e-04
44              	3.49536376e-02	-1.39791522e-04	7.33508440e-04	-4.49786732e-09	-2.83271912e-04	-5.36399949e-05	1.74768143e-02	1.74768233e-02	-1.23535756e-04	-1.62557661e-05	8.34823082e-05	6.50026132e-04
45              	3.45074696e-02	-1.45169562e-04	7.70381906e-04	-4.14869632e-09	-2.97034990e-04	-5.63032811e-05	1.72537307e-02	1.72537390e-02	-1.28888062e-04	-1.62815000e-05	8.81559625e-05	6.82225943e-04
46              	3.40708920e-02	-1.49107448e-04	8.11329640e-04	-3.80555935e-09	-3.12292552e-04	-5.80382162e-05	1.70354422e-02	1.70354498e-02	-1.32591940e-04	-1.65155080e-05	9.33722678e-05	7.17957372e-04
47              	3.37191612e-02	-1.53479843e-04	8.53862271e-04	-3.47123216e-09	-3.28602266e-04	-5.95340214e-05	1.68595771e-02	1.68595841e-02	-1.36273943e-04	-1.72059003e-05	9.83288694e-05	7.55533401e-04
48              	3.34170466e-02	-1.59222757e-04	8.94220617e-04	-3.43441150e-09	-3.44540005e-04	-6.14869695e-05	1.67085198e-02	1.67085267e-02	-1.41098348e-04	-1.81244089e-05	1.02570303e-04	7.91650313e-04
49              	3.30949268e-02	-1.66718397e-04	9.31315568e-04	-3.37661299e-09	-3.59468034e-04	-6.42563741e-05	1.65474600e-02	1.65474668e-02	-1.47615573e-04	-1.91028244e-05	1.06189751e-04	8.25125818e-04
50              	3.27203848e-02	-1.76341295e-04	9.70700123e-04	-3.17094866e-09	-3.75135766e-04	-6.81050344e-05	1.63601892e-02	1.63601956e-02	-1.56275682e-04	-2.00656132e-05	1.10214296e-04	8.60485827e-04
51              	3.23106350e-02	-1.87867429e-04	1.01803160e-03	-2.99285407e-09	-3.93601205e-04	-7.27600120e-05	1.61553145e-02	1.61553205e-02	-1.66693726e-04	-2.11737023e-05	1.15414594e-04	9.02617005e-04
52              	3.19159126e-02	-2.01360653e-04	1.07706140e-03	-2.82952419e-09	-4.16319677e-04	-7.80769157e-05	1.59579535e-02	1.59579591e-02	-1.78757242e-04	-2.26034111e-05	1.22211024e-04	9.54850377e-04
53              	3.15803239e-02	-2.16501322e-04	1.14588927e-03	-2.74041259e-09	-4.42807109e-04	-8.39040458e-05	1.57901592e-02	1.57901647e-02	-1.92154707e-04	-2.43466153e-05	1.30137527e-04	1.01575175e-03
